num,year_grade,book,chapter_num,chapter_name,section_num,section_name,old_section_name
1,8,1,1,位置、地圖與座標系統,1,我的位置在哪裡？,位置、地圖與座標系統我的位置在哪裡？
2,8,1,1,位置、地圖與座標系統,2,絕對位置對日常生活有哪些影響？,位置、地圖與座標系統絕對位置對日常生活有哪些影響？
3,8,1,2,位置對臺灣的影響,1,臺灣的位置如何表示？,位置對臺灣的影響臺灣的位置如何表示？
4,8,1,2,位置對臺灣的影響,2,位置對臺灣帶來哪些影響？,位置對臺灣的影響位置對臺灣帶來哪些影響？
5,8,1,3,臺灣的地形,1,臺灣地形的樣貌為何？,臺灣的地形臺灣地形的樣貌為何？
6,8,1,3,臺灣的地形,2,如何表現一地的地形？,臺灣的地形如何表現一地的地形？
7,8,1,3,臺灣的地形,3,如何適度利用土地資源？,臺灣的地形如何適度利用土地資源？
8,8,1,4,臺灣的海域,1,臺灣的海岸如何利用？,臺灣的海域臺灣的海岸如何利用？
9,8,1,4,臺灣的海域,2,臺灣的海域利用現況如何？,臺灣的海域臺灣的海域利用現況如何？
10,8,1,5,臺灣的氣候,1,今天的天氣如何？,臺灣的氣候今天的天氣如何？
11,8,1,5,臺灣的氣候,2,臺灣的氣候有什麼特色？,臺灣的氣候臺灣的氣候有什麼特色？
12,8,1,6,臺灣的水文,1,臺灣的水資源夠用嗎？,臺灣的水文臺灣的水資源夠用嗎？
13,8,1,6,臺灣的水文,2,如何充分利用水資源？,臺灣的水文如何充分利用水資源？
14,8,2,1,臺灣的人口成長與分布,1,臺灣的人口如何變動？,臺灣的人口成長與分布臺灣的人口如何變動？
15,8,2,1,臺灣的人口成長與分布,2,人口為什麼會遷移？,臺灣的人口成長與分布人口為什麼會遷移？
16,8,2,1,臺灣的人口成長與分布,3,臺灣的人口分布有何特徵？,臺灣的人口成長與分布臺灣的人口分布有何特徵？
17,8,2,2,臺灣的人口組成與多元族群,1,什麼是人口組成？,臺灣的人口組成與多元族群什麼是人口組成？
18,8,2,2,臺灣的人口組成與多元族群,2,臺灣近年有哪些重要的人口議題？,臺灣的人口組成與多元族群臺灣近年有哪些重要的人口議題？
19,8,2,2,臺灣的人口組成與多元族群,3,臺灣多元族群的文化特色是什麼？,臺灣的人口組成與多元族群臺灣多元族群的文化特色是什麼？
20,8,2,3,臺灣的第一級產業,1,臺灣的產業結構是怎麼轉變的？,臺灣的第一級產業臺灣的產業結構是怎麼轉變的？
21,8,2,3,臺灣的第一級產業,2,第一級產業臺灣的農業發展有哪些特色？,臺灣的第一級產業第一級產業臺灣的農業發展有哪些特色？
22,8,2,3,臺灣的第一級產業,3,第一級產業臺灣的漁業和畜牧業發展有什麼特色？,臺灣的第一級產業第一級產業臺灣的漁業和畜牧業發展有什麼特色？
23,8,2,4,臺灣的第二、三級產業,1,工廠要蓋在哪裡比較好？,臺灣的第二、三級產業工廠要蓋在哪裡比較好？
24,8,2,4,臺灣的第二、三級產業,2,臺灣的工業發展有哪些特色？,臺灣的第二、三級產業臺灣的工業發展有哪些特色？
25,8,2,4,臺灣的第二、三級產業,3,臺灣的國際貿易有什麼特色？,臺灣的第二、三級產業臺灣的國際貿易有什麼特色？
26,8,2,5,臺灣的聚落類型與交通網絡,1,鄉村和都市有什麼差異？,臺灣的聚落類型與交通網絡鄉村和都市有什麼差異？
27,8,2,5,臺灣的聚落類型與交通網絡,2,來去都市？,臺灣的聚落類型與交通網絡來去都市？怎麼去？
28,8,2,5,臺灣的聚落類型與交通網絡,3,來到都市會看到什麼現象？,臺灣的聚落類型與交通網絡來到都市會看到什麼現象？
29,8,2,6,臺灣的區域發展與差異,1,六都具有哪些特色？,臺灣的區域發展與差異六都具有哪些特色？
30,8,2,6,臺灣的區域發展與差異,2,北、中、南、東各區域有什麼特色？,臺灣的區域發展與差異北、中、南、東各區域有什麼特色？
31,8,2,6,臺灣的區域發展與差異,3,臺灣區域間有哪些差異？,臺灣的區域發展與差異臺灣區域間有哪些差異？
32,9,3,1,中國的自然環境與傳統維生方式,1,中國的自然環境有何特徵？,中國的自然環境與傳統維生方式中國的自然環境有何特徵？
33,9,3,1,中國的自然環境與傳統維生方式,2,傳統中國的維生方式有何特徵？,中國的自然環境與傳統維生方式傳統中國的維生方式有何特徵？
34,9,3,2,中國的人口成長與文化遷移,1,中國如何養育眾多的人口？,中國的人口成長與文化遷移中國如何養育眾多的人口？
35,9,3,2,中國的人口成長與文化遷移,2,中國人口有哪些特徵？,中國的人口成長與文化遷移中國人口有哪些特徵？
36,9,3,2,中國的人口成長與文化遷移,3,中國如何因應人口大量增加的壓力？,中國的人口成長與文化遷移中國如何因應人口大量增加的壓力？
37,9,3,3,中國的工業發展與地區差異,1,中國工業發展的條件為何？,中國的工業發展與地區差異中國工業發展的條件為何？
38,9,3,3,中國的工業發展與地區差異,2,中國的經濟核心在哪裡？,中國的工業發展與地區差異中國的經濟核心在哪裡？
39,9,3,4,中國的經濟發展與全球關連,1,中國如何從世界工廠變成世界市場？,中國的經濟發展與全球關連中國如何從世界工廠變成世界市場？
40,9,3,4,中國的經濟發展與全球關連,2,中國與全球有什麼關連？,中國的經濟發展與全球關連中國與全球有什麼關連？
41,9,3,5,東北亞的自然環境,1,東北亞的自然環境有何特色？,東北亞的自然環境東北亞的自然環境有何特色？
42,9,3,5,東北亞的自然環境,2,環境如何影響日、韓的文化特色？,東北亞的自然環境環境如何影響日、韓的文化特色？
43,9,3,6,東北亞的經濟發展,1,日本的產業發展有何特色？,東北亞的經濟發展日本的產業發展有何特色？
44,9,3,6,東北亞的經濟發展,2,朝鮮半島的產業發展有何特色？,東北亞的經濟發展朝鮮半島的產業發展有何特色？
45,9,4,1,東南亞,1,東南亞的景觀為何如此多元？,東南亞東南亞的景觀為何如此多元？
46,9,4,1,東南亞,2,東南亞的經濟如何崛起？,東南亞東南亞的經濟如何崛起？
47,9,4,2,南亞,1,南亞的環境為何特殊？,南亞南亞的環境為何特殊？
48,9,4,2,南亞,2,南亞如何提升經濟競爭力？,亞南亞如何提升經濟競爭力？
49,9,4,3,西亞與北非的自然環境與文化,1,世界如何分區？,西亞與北非的自然環境與文化世界如何分區？
50,9,4,3,西亞與北非的自然環境與文化,2,乾燥氣候影響了什麼？,西亞與北非的自然環境與文化乾燥氣候影響了什麼？
51,9,4,3,西亞與北非的自然環境與文化,3,伊斯蘭文化是如何形成？,西亞與北非的自然環境與文化伊斯蘭文化是如何形成？
52,9,4,4,動盪的西亞與北非,1,多元文化之間如何互動？,動盪的西亞與北非多元文化之間如何互動？
53,9,4,4,動盪的西亞與北非,2,西亞與北非為何紛爭不斷？,動盪的西亞與北非西亞與北非為何紛爭不斷？
54,9,4,5,漠南非洲的自然環境與傳統文化,1,漠南非洲的自然環境有何特色？,漠南非洲的自然環境與傳統文化漠南非洲的自然環境有何特色？
55,9,4,5,漠南非洲的自然環境與傳統文化,2,漠南非洲傳統的維生活動與文化特色為何？,漠南非洲的自然環境與傳統文化漠南非洲傳統的維生活動與文化特色為何？
56,9,4,6,漠南非洲的發展與挑戰,1,漠南非洲的經濟發展面臨哪些問題？,漠南非洲的發展與挑戰漠南非洲的經濟發展面臨哪些問題？
57,9,4,6,漠南非洲的發展與挑戰,2,如何改善漠南非洲居民的生活？,漠南非洲的發展與挑戰如何改善漠南非洲居民的生活？
58,10,5,1,漠南非洲的挑戰,1,不公平的貿易制度是如何產生的？,漠南非洲的發展與挑戰不公平的貿易制度是如何產生的？
59,10,5,1,漠南非洲的挑戰,2,漠南非洲的居民在生活中面臨哪些問題？,漠南非洲的發展與挑戰漠南非洲的居民在生活中面臨哪些問題？
60,10,5,1,漠南非洲的挑戰,3,漠南非洲各國如何改善居民的生活？,漠南非洲的發展與挑戰漠南非洲各國如何改善居民的生活？
61,10,5,2,歐洲(一),1,歐洲的自然環境有何特色？,歐洲(一)歐洲的自然環境有何特色？
62,10,5,2,歐洲(一),2,歐洲國家的產業發達嗎？,歐洲(一)歐洲國家的產業發達嗎？
63,10,5,2,歐洲(一),3,歐洲如何吸引眾多觀光客？,歐洲(一)歐洲如何吸引眾多觀光客？
64,10,5,3,歐洲(二)與俄羅斯,1,歐洲國家為什麼要組成歐盟？,歐洲(二)與俄羅斯歐洲國家為什麼要組成歐盟？
65,10,5,3,歐洲(二)與俄羅斯,2,面積廣大的俄羅斯全境都適合居住嗎？,歐洲(二)與俄羅斯面積廣大的俄羅斯全境都適合居住嗎？
66,10,5,3,歐洲(二)與俄羅斯,3,天寒地凍的俄羅斯如何發展經濟？,歐洲(二)與俄羅斯天寒地凍的俄羅斯如何發展經濟？
67,10,5,4,北美洲,1,北美洲的自然環境有什麼優勢？,北美洲北美洲的自然環境有什麼優勢？
68,10,5,4,北美洲,2,北美洲的多元文化如何形塑而成？,北美洲北美洲的多元文化如何形塑而成？
69,10,5,4,北美洲,3,北美洲如何成為世界經濟最發達的地區？,北美洲北美洲如何成為世界經濟最發達的地區？
70,10,5,5,中南美洲,1,中南美洲的自然環境有何特徵？,中南美洲中南美洲的自然環境有何特徵？
71,10,5,5,中南美洲,2,由多種民族混居的社會是如何形成的？,中南美洲由多種民族混居的社會是如何形成的？
72,10,5,5,中南美洲,3,南美洲國家為何要開發熱帶雨林？,中南美洲南美洲國家為何要開發熱帶雨林？
73,10,6,1,臺灣的地名起源,1,為什麼要認識地名？,臺灣的地名起源為什麼要認識地名？
74,10,6,1,臺灣的地名起源,2,聚落地名的命名與周圍環境有什麼關係？,臺灣的地名起源聚落地名的命名與周圍環境有什麼關係？
75,10,6,1,臺灣的地名起源,3,臺灣的地名可以望文生義嗎？,臺灣的地名起源臺灣的地名可以望文生義嗎？
76,10,6,2,臺灣行政區名的由來與變遷,1,縣市名稱的命名依據是什麼？,臺灣行政區名的由來與變遷縣市名稱的命名依據是什麼？
77,10,6,2,臺灣行政區名的由來與變遷,2,鄉鎮市區又是如何命名呢？,臺灣行政區名的由來與變遷鄉鎮市區又是如何命名呢？
78,10,6,3,臺灣的農業與食品生產,1,現在吃的東西，跟以前有什麼不同？,臺灣的農業與食品生產現在吃的東西，跟以前有什麼不同？
79,10,6,3,臺灣的農業與食品生產,2,臺灣的農業經營有何特徵？,臺灣的農業與食品生產臺灣的農業經營有何特徵？
80,10,6,4,臺灣的食物產銷與食品安全,1,食物如何運送至消費者手中？,臺灣的食物產銷與食品安全食物如何運送至消費者手中？
81,10,6,4,臺灣的食物產銷與食品安全,2,如何吃得更安全？,臺灣的食物產銷與食品安全如何吃得更安全？