關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱
1,8,第三冊,1,基本測量,1,實驗室安全,常用儀器、實驗安全,實驗室安全
2,8,第三冊,1,基本測量,2,長度體積的測量,測量紀錄、長度測量、體積測量,長度體積的測量
3,8,第三冊,1,基本測量,3,質量的測量,質量、天平、質量測量,質量的測量
4,8,第三冊,1,基本測量,4,密度的測量,密度、密度計算,密度的測量-1
5,8,第三冊,1,基本測量,4,密度的測量,沉浮關係、混合密度,密度的測量-2
6,8,第三冊,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-1
7,8,第三冊,1,基本測量,0,章節總複習,章節所有知識點,基本測量 （全）-2
8,8,第三冊,2,認識物質,1,認識物質,能量、物質分類、物理化學變化,認識物質-1
9,8,第三冊,2,認識物質,1,認識物質,物理性質、物質分離法,認識物質-2
10,8,第三冊,2,認識物質,2,溶液,溶液性質、溶液種類、濃度,溶液-1
11,8,第三冊,2,認識物質,2,溶液,飽和溶液、溶解度,溶液-2
12,8,第三冊,2,認識物質,3,空氣的組成與性質,空氣的組成、收集氣體方法,空氣的組成與性質-1
13,8,第三冊,2,認識物質,3,空氣的組成與性質,氧氣製備、二氧化碳製備,空氣的組成與性質-2
14,8,第三冊,2,認識物質,0,章節總複習,章節所有知識點,認識物質 （全）-1
15,8,第三冊,2,認識物質,0,章節總複習,章節所有知識點,認識物質 （全）-2
16,8,第三冊,3,波動與聲音,1,波的傳播,波的性質、波的種類,波的傳播-1
17,8,第三冊,3,波動與聲音,1,波的傳播,波的名詞、波的公式,波的傳播-2
18,8,第三冊,3,波動與聲音,2,聲音,聲波的構成、聲波的性質,聲音
19,8,第三冊,3,波動與聲音,3,回聲和超聲波,反射、回聲的性質,回聲和超聲波-1
20,8,第三冊,3,波動與聲音,3,回聲和超聲波,超聲波、聲波的應用,回聲和超聲波-2
21,8,第三冊,3,波動與聲音,4,聲音的變化,樂音、樂音三要素,聲音的變化-1
22,8,第三冊,3,波動與聲音,4,聲音的變化,樂器、聲波的共振,聲音的變化-2
23,8,第三冊,3,波動與聲音,0,章節總複習,章節所有知識點,波動與聲音 （全）-1
24,8,第三冊,3,波動與聲音,0,章節總複習,章節所有知識點,波動與聲音 （全）-2
25,8,第三冊,4,光學,1,光的直線前進,光的特性、光的傳播、直進性,光的直線前進-1
26,8,第三冊,4,光學,1,光的直線前進,針孔成像、光速,光的直線前進-2
27,8,第三冊,4,光學,2,反射與面鏡,反射定律、平面鏡的成像,反射與面鏡-1
28,8,第三冊,4,光學,2,反射與面鏡,凹面鏡、凸面鏡,反射與面鏡-2
29,8,第三冊,4,光學,3,折射與透鏡,光速的變化、折射定律,折射與透鏡-1
30,8,第三冊,4,光學,3,折射與透鏡,凸透鏡、凹透鏡,折射與透鏡-2
31,8,第三冊,4,光學,4,光學儀器,放大鏡成像、顯微鏡成像,光學儀器-1
32,8,第三冊,4,光學,4,光學儀器,相機成像、眼睛成像,光學儀器-2
33,8,第三冊,4,光學,5,光與顏色,光的色散、光的三原色,光與顏色-1
34,8,第三冊,4,光學,5,光與顏色,物體顏色、紅外光與紫外光,光與顏色-2
35,8,第三冊,4,光學,0,章節總複習,章節所有知識點,光學 （全）-1
36,8,第三冊,4,光學,0,章節總複習,章節所有知識點,光學 （全）-2
37,8,第三冊,5,熱學,1,溫度與溫度計,溫度計種類、測量原理,溫度與溫度計-1
38,8,第三冊,5,熱學,1,溫度與溫度計,溫標、測量範圍,溫度與溫度計-2
39,8,第三冊,5,熱學,2,熱量與比熱,熱量、熱平衡,熱量與比熱-1
40,8,第三冊,5,熱學,2,熱量與比熱,比熱、單位換算,熱量與比熱-2
41,8,第三冊,5,熱學,3,熱的傳播方式,傳導、對流,熱的傳播方式-1
42,8,第三冊,5,熱學,3,熱的傳播方式,輻射、生活應用,熱的傳播方式-2
43,8,第三冊,5,熱學,4,熱對物質的影響,物理變化、化學變化,熱對物質的影響-1
44,8,第三冊,5,熱學,4,熱對物質的影響,熱脹冷縮、水的特殊現象,熱對物質的影響-2
45,8,第三冊,5,熱學,0,章節總複習,章節所有知識點,熱學 （全）-1
46,8,第三冊,5,熱學,0,章節總複習,章節所有知識點,熱學 （全）-2
47,8,第三冊,6,元素與原子,1,元素與化合物,純物質、元素,元素與化合物-1
48,8,第三冊,6,元素與原子,1,元素與化合物,化合物、混合物,元素與化合物-2
49,8,第三冊,6,元素與原子,2,認識元素,元素的命名、常見金屬元素,認識元素-1
50,8,第三冊,6,元素與原子,2,認識元素,常見非金屬元素、常見氣體,認識元素-2
51,8,第三冊,6,元素與原子,3,物質結構與原子,原子結構、質子,物質結構與原子-1
52,8,第三冊,6,元素與原子,3,物質結構與原子,中子、電子,物質結構與原子-2
53,8,第三冊,6,元素與原子,4,週期表,元素分類、族與週期、原子序,週期表
54,8,第三冊,6,元素與原子,5,分子與化學式,分子種類、化學式、實驗式,分子與化學式-1
55,8,第三冊,6,元素與原子,5,分子與化學式,示性式、結構式,分子與化學式-2
56,8,第三冊,6,元素與原子,0,章節總複習,章節所有知識點,元素與原子 （全）-1
57,8,第三冊,6,元素與原子,0,章節總複習,章節所有知識點,元素與原子 （全）-2
58,8,第四冊,1,化學反應,1,常見的化學反應,化學反應、常見反應,常見的化學反應
59,8,第四冊,1,化學反應,2,質量守恆定律,質量守恆定律,質量守恆定律
60,8,第四冊,1,化學反應,3,反應式與化學計量,原子量、分子量,反應式與化學計量-1
61,8,第四冊,1,化學反應,3,反應式與化學計量,莫耳、計量,反應式與化學計量-2
62,8,第四冊,1,化學反應,0,章節總複習,章節所有知識點,化學反應 （全）-1
63,8,第四冊,1,化學反應,0,章節總複習,章節所有知識點,化學反應 （全）-2
64,8,第四冊,2,氧化還原反應,1,氧化反應與活性,氧化反應、氧化物、物質燃燒,氧化反應與活性
65,8,第四冊,2,氧化還原反應,2,氧化與還原,還原反應、金屬活性、氧化還原,氧化與還原
66,8,第四冊,2,氧化還原反應,3,生活中的氧化還原,氧化還原的應用、煉鐵,生活中的氧化還原
67,8,第四冊,2,氧化還原反應,0,章節總複習,章節所有知識點,氧化還原反應 （全）-1
68,8,第四冊,2,氧化還原反應,0,章節總複習,章節所有知識點,氧化還原反應 （全）-2
69,8,第四冊,3,電解質與酸鹼鹽,1,電解質,電解質、離子,電解質-1
70,8,第四冊,3,電解質與酸鹼鹽,1,電解質,解離說、莫耳濃度,電解質-2
71,8,第四冊,3,電解質與酸鹼鹽,2,酸和鹼,酸、鹼、常見酸鹼,酸和鹼
72,8,第四冊,3,電解質與酸鹼鹽,3,酸鹼程度的表示,pH 值、酸鹼判斷、影響 pH 值的因素,酸鹼程度的表示
73,8,第四冊,3,電解質與酸鹼鹽,4,酸鹼中和反應,鹽的生成、鹽的酸鹼,酸鹼中和反應-1
74,8,第四冊,3,電解質與酸鹼鹽,4,酸鹼中和反應,常見鹽類、酸鹼中和計算,酸鹼中和反應-2
75,8,第四冊,3,電解質與酸鹼鹽,0,章節總複習,章節所有知識點,電解質與酸鹼鹽 （全）-1
76,8,第四冊,3,電解質與酸鹼鹽,0,章節總複習,章節所有知識點,電解質與酸鹼鹽 （全）-2
77,8,第四冊,4,反應速率與平衡,1,反應速率,反應速率定義、影響反應速率的因素、催化劑,反應速率
78,8,第四冊,4,反應速率與平衡,2,可逆反應與平衡,可逆反應、動態平衡、影響平衡的因素,可逆反應與平衡
79,8,第四冊,4,反應速率與平衡,0,章節總複習,章節所有知識點,反應速率與平衡 （全）-1
80,8,第四冊,4,反應速率與平衡,0,章節總複習,章節所有知識點,反應速率與平衡 （全）-2
81,8,第四冊,5,有機化合物,1,認識有機化合物,有機化合物定義、有機化合物的種類、天然氣與液化石油氣,認識有機化合物
82,8,第四冊,5,有機化合物,2,常見的有機化合物,同分異構物、烴類、醇類,常見的有機化合物-1
83,8,第四冊,5,有機化合物,2,常見的有機化合物,有機酸、酯類,常見的有機化合物-2
84,8,第四冊,5,有機化合物,3,聚合物與衣料纖維,聚合物、聚合物種類、衣料纖維,聚合物與衣料纖維
85,8,第四冊,5,有機化合物,4,有機物在生活中的應用,肥皂與清潔劑、皂化反應,有機物在生活中的應用
86,8,第四冊,5,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-1
87,8,第四冊,5,有機化合物,0,章節總複習,章節所有知識點,有機化合物 （全）-2
88,8,第四冊,6,力與壓力,1,力與平衡,力的種類、力的單位、力的三要素,力與平衡-1
89,8,第四冊,6,力與壓力,1,力與平衡,兩力平衡、力的測量,力與平衡-2
90,8,第四冊,6,力與壓力,2,摩擦力,摩擦力、影響摩擦力的因素,摩擦力-1
91,8,第四冊,6,力與壓力,2,摩擦力,動摩擦力、靜摩擦力,摩擦力-2
92,8,第四冊,6,力與壓力,3,壓力,壓力、固體壓力,壓力-1
93,8,第四冊,6,力與壓力,3,壓力,液體壓力、氣壓,壓力-2
94,8,第四冊,6,力與壓力,4,浮力,浮力、液體中的沉浮、浮力的應用,浮力
95,8,第四冊,6,力與壓力,0,章節總複習,章節所有知識點,力與壓力 （全）-1
96,8,第四冊,6,力與壓力,0,章節總複習,章節所有知識點,力與壓力 （全）-2
97,9,第五冊,1,直線運動,1,單擺的等時性,時間的單位、單擺、等時性,單擺的等時性
98,9,第五冊,1,直線運動,2,位移與路徑長,位置、位移、路徑長,位移與路徑長
99,9,第五冊,1,直線運動,3,速率與速度,速率、速度、等速運動,速率與速度
100,9,第五冊,1,直線運動,4,加速度,加速度、等加速度運動,加速度
101,9,第五冊,1,直線運動,0,章節總複習,章節所有知識點,直線運動 （全）-1
102,9,第五冊,1,直線運動,0,章節總複習,章節所有知識點,直線運動 （全）-2
103,9,第五冊,2,力與運動,1,牛頓第一運動定律,牛頓第一運動定律,牛頓第一運動定律
104,9,第五冊,2,力與運動,2,牛頓第二運動定律,牛頓第二運動定律,牛頓第二運動定律
105,9,第五冊,2,力與運動,3,牛頓第三運動定律,牛頓第三運動定律,牛頓第三運動定律
106,9,第五冊,2,力與運動,4,圓周運動和萬有引力,萬有引力、圓周運動,圓周運動和萬有引力
107,9,第五冊,2,力與運動,0,章節總複習,章節所有知識點,力與運動 （全）-1
108,9,第五冊,2,力與運動,0,章節總複習,章節所有知識點,力與運動 （全）-2
109,9,第五冊,3,功與能,1,功與功率,功的定義、功與能的關係、功率,功與功率
110,9,第五冊,3,功與能,2,動能、位能與能量守恆,動能、位能、力學能守恆,動能、位能與能量守恆
111,9,第五冊,3,功與能,3,力矩,力矩、功和力矩的比較、靜力平衡,力矩
112,9,第五冊,3,功與能,4,簡單機械,機械、機械性質、輪軸,簡單機械-1
113,9,第五冊,3,功與能,4,簡單機械,滑輪、斜面、螺旋,簡單機械-2
114,9,第五冊,3,功與能,0,章節總複習,章節所有知識點,功與能 （全）-1
115,9,第五冊,3,功與能,0,章節總複習,章節所有知識點,功與能 （全）-2
116,9,第五冊,4,電學,1,靜電,靜電、庫侖定律、摩擦起電,靜電-1
117,9,第五冊,4,電學,1,靜電,接觸起電、感應起電,靜電-2
118,9,第五冊,4,電學,2,電路與電壓,基本電路、電壓,電路與電壓
119,9,第五冊,4,電學,3,電流,電流、電流測量、電壓測量,電流
120,9,第五冊,4,電學,4,電阻,電阻、歐姆定率、電阻計算,電阻
121,9,第五冊,4,電學,0,章節總複習,章節所有知識點,電學 （全）-1
122,9,第五冊,4,電學,0,章節總複習,章節所有知識點,電學 （全）-2
123,9,第六冊,1,電流的化學效應,1,伏打電池,電池結構、伏打電池、電極判斷,伏打電池
124,9,第六冊,1,電流的化學效應,2,生活中的電池,一次電池、二次電池,生活中的電池-1
125,9,第六冊,1,電流的化學效應,2,生活中的電池,鋰電池、鉛蓄電池,生活中的電池-2
126,9,第六冊,1,電流的化學效應,3,電流的化學效應,電解、電鍍,電流的化學效應
127,9,第六冊,1,電流的化學效應,0,章節總複習,章節所有知識點,電流的化學效應 （全）-1
128,9,第六冊,1,電流的化學效應,0,章節總複習,章節所有知識點,電流的化學效應 （全）-2
129,9,第六冊,2,電流的熱效應,1,電流的熱效應,電熱效應,電流的熱效應
130,9,第六冊,2,電流的熱效應,2,電與生活,電功率、能源分類、發電,電與生活-1
131,9,第六冊,2,電流的熱效應,2,電與生活,生活用電、用電安全,電與生活-2
132,9,第六冊,2,電流的熱效應,0,章節總複習,章節所有知識點,電流的熱效應 （全）-1
133,9,第六冊,2,電流的熱效應,0,章節總複習,章節所有知識點,電流的熱效應 （全）-2
134,9,第六冊,3,電流的磁效應,1,磁鐵與磁場,磁鐵、磁場,磁鐵與磁場-1
135,9,第六冊,3,電流的磁效應,1,磁鐵與磁場,磁力線、磁化,磁鐵與磁場-2
136,9,第六冊,3,電流的磁效應,2,電流磁效應,電流磁效應、安培右手,電流磁效應
137,9,第六冊,3,電流的磁效應,3,電磁鐵、電動機與電話,右手開掌定則、電磁鐵,電磁鐵、電動機與電話-1
138,9,第六冊,3,電流的磁效應,3,電磁鐵、電動機與電話,電動機、電話,電磁鐵、電動機與電話-2
139,9,第六冊,3,電流的磁效應,4,電磁感應,電磁感應、發電機、變壓器,電磁感應
140,9,第六冊,3,電流的磁效應,0,章節總複習,章節所有知識點,電流的磁效應 （全）-1
141,9,第六冊,3,電流的磁效應,0,章節總複習,章節所有知識點,電流的磁效應 （全）-2
